case_id,image_filename,baseline,raw_merged,postprocessed_merged,baseline_errors,raw_errors,post_errors,post_delta_vs_baseline
11,11.jpg,1/1/0,1/1/0,1/1/0,1,1,1,0
14,14.jpg,1/1/0,1/1/0,1/1/0,1,1,1,0
20,20.jpg,1/1/0,1/1/0,1/1/0,1,1,1,0
21,21.jpg,2/1/0,2/1/0,2/1/0,1,1,1,0
40,40.png,1/1/0,1/1/0,1/1/0,1,1,1,0
42,42.png,1/1/0,2/0/2,2/0/2,1,2,2,1
44,44.jpg,7/2/0,9/0/23,9/0/23,2,23,23,21
53,53.jpg,2/1/0,3/0/4,3/0/4,1,4,4,3
66,66.jpg,8/0/1,8/0/7,8/0/7,1,7,7,6
67,67.jpg,10/1/3,10/1/6,10/1/6,4,7,7,3
76,76.jpg,1/2/0,3/0/3,3/0/3,2,3,3,1
84,84.jpg,8/5/0,8/5/0,8/5/0,5,5,5,0
100,100.jpg,1/2/0,1/2/0,1/2/0,2,2,2,0
102,102.jpg,0/1/0,0/1/0,0/1/0,1,1,1,0
108,108.jpg,1/1/0,2/0/1,2/0/1,1,1,1,0
110,110.jpg,3/4/1,3/4/1,3/4/1,5,5,5,0
155,155.jpg,2/0/0,2/0/0,2/0/0,0,0,0,0
166,166.jpg,1/0/0,1/0/1,1/0/1,0,1,1,1
